tipo,categoria,subcategoria,padrao,ativo
ABASTECIMENTO,COMBUSTIVEL,Etanol,SIM,SIM
ABASTECIMENTO,COMBUSTIVEL,Gasolina,NAO,SIM
ABASTECIMENTO,COMBUSTIVEL,Diesel,NAO,SIM
DESPESA,ADMINISTRATIVA,Adesivos/Soleiras,NAO,SIM
DESPESA,ADMINISTRATIVA,Gorjeta,NAO,SIM
DESPESA,ADMINISTRATIVA,Impostos (IPVA/DPVAT),SIM,SIM
DESPESA,ADMINISTRATIVA,Macaco,NAO,SIM
DESPESA,ADMINISTRATIVA,Multa,NAO,SIM
DESPESA,ADMINISTRATIVA,Protetor Solar/Parabrisa,NAO,SIM
DESPESA,ADMINISTRATIVA,Seguro,NAO,SIM
RECEITA,RECEITA,Reembolso,SIM,SIM
SERVICO,MANUTENCAO,Bateria,NAO,SIM
SERVICO,MANUTENCAO,Filtro de Ar,NAO,SIM
SERVICO,MANUTENCAO,Filtro de Ar da Cabine,NAO,SIM
SERVICO,MANUTENCAO,Filtro de Combustível,NAO,SIM
SERVICO,MANUTENCAO,Filtro de Óleo,SIM,SIM
SERVICO,MANUTENCAO,Fluido de Freio,NAO,SIM
SERVICO,MANUTENCAO,Fluido Radiador,NAO,SIM
SERVICO,MANUTENCAO,Lava-jato,NAO,SIM
SERVICO,MANUTENCAO,Mão de obra,NAO,SIM
SERVICO,MANUTENCAO,Pneus - Calibragem,NAO,SIM
SERVICO,MANUTENCAO,Troca de Freio,NAO,SIM
SERVICO,MANUTENCAO,Troca de Óleo,NAO,SIM
SERVICO,MANUTENCAO,Vidros/Espelhos,NAO,SIM
