id,veiculo_id,veiculo_nome,tipo,data_hora,hodometro_km,categoria,subcategoria,valor,quantidade_litros,preco_unitario,distancia_km,consumo_km_l,tanque_completo,local,motorista,motivo,forma_pagamento,observacao,status_qualidade,flags_qualidade,origem,linha_origem,veiculo,distancia_abastecimento_km
5e84dc2c4cb78ae5fafc,v2,Hyundai Sonata,ABASTECIMENTO,2018-05-31T05:04:36,120000,COMBUSTIVEL,Gasolina,4000,909.091,4.4,0,,SIM,Posto 1,MARCELO BR,,,,SUSPEITO,VOLUME_ACIMA_150_L|VALOR_ABASTECIMENTO_ACIMA_1500|DISTANCIA_ACIMA_2000_KM,DRIVVO,216,Hyundai Sonata,0
d508a0e8cdbc9c367a0d,v2,Hyundai Sonata,SERVICO,2018-06-01T08:58:17,120000,MANUTENCAO,Pneus,2000,,,0,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,439,Hyundai Sonata,
b007692eb3774804aba3,v2,Hyundai Sonata,SERVICO,2018-06-29T14:23:33,121000,MANUTENCAO,Suspensão/Amortecedores,1700,,,1000,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,438,Hyundai Sonata,
688ac3ad84e5eafe0508,v2,Hyundai Sonata,SERVICO,2018-07-05T14:13:32,122000,MANUTENCAO,Fluido de Freio,150,,,1000,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,437,Hyundai Sonata,
233f28e963b23012cc22,v2,Hyundai Sonata,SERVICO,2018-07-14T21:32:35,122000,MANUTENCAO,Fluido da Transmissão,204,,,0,,N.I.,,MARCELO BR,,,Óleo transmissão,VALIDO,,DRIVVO,436,Hyundai Sonata,
acea94d69a3b5d753c12,v2,Hyundai Sonata,SERVICO,2018-08-15T14:19:44,123000,MANUTENCAO,Bateria,500,,,1000,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,435,Hyundai Sonata,
62dd7fd1e370d36d7291,v2,Hyundai Sonata,SERVICO,2018-08-30T14:25:49,123000,MANUTENCAO,Direção Hidráulica,200,,,0,,N.I.,,MARCELO BR,,,Troca óleo direção,VALIDO,,DRIVVO,434,Hyundai Sonata,
04882c41064f7b2599ed,v2,Hyundai Sonata,SERVICO,2018-10-01T16:07:09,123000,MANUTENCAO,Troca de Óleo,250,,,0,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,433,Hyundai Sonata,
c704020d11ed074b5c37,v2,Hyundai Sonata,SERVICO,2018-10-15T14:18:17,123500,MANUTENCAO,Velas de Ignição,300,,,500,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,432,Hyundai Sonata,
510f470a2a55b24d7911,v2,Hyundai Sonata,DESPESA,2018-11-30T14:42:58,0,ADMINISTRATIVA,Impostos (IPVA/DPVAT),2000,,,,,N.I.,,MARCELO BR,,,,VALIDO,,DRIVVO,243,Hyundai Sonata,
